"timesteps","Variabilidade - _step","Variabilidade - _step__MIN","Variabilidade - _step__MAX","Variabilidade - mean_reward_test","Variabilidade - mean_reward_test__MIN","Variabilidade - mean_reward_test__MAX","Sustentabilidade - _step","Sustentabilidade - _step__MIN","Sustentabilidade - _step__MAX","Sustentabilidade - mean_reward_test","Sustentabilidade - mean_reward_test__MIN","Sustentabilidade - mean_reward_test__MAX","Lucro - _step","Lucro - _step__MIN","Lucro - _step__MAX","Lucro - mean_reward_test","Lucro - mean_reward_test__MIN","Lucro - mean_reward_test__MAX"
"3328","6700.5","6690","6705","73.66292833333334","73.66292833333334","73.66292833333334","6700.5","6690","6705","50.2892669090909","50.289266909090905","50.289266909090905","6700.5","6690","6705","68.52978387878788","68.52978387878788","68.52978387878788"
"6656","13409.5","13399","13414","83.54083099999997","83.54083099999997","83.54083099999997","13409.5","13399","13414","61.21848897014924","61.218488970149245","61.218488970149245","13409.5","13399","13414","69.42529640298507","69.42529640298508","69.42529640298508"
"9984","20117.5","20107","20122","93.40020217999997","93.40020217999997","93.40020217999997","20117.5","20107","20122","65.07593236000001","65.07593236","65.07593236","20117.5","20107","20122","75.53812116","75.53812116","75.53812116"
"13312","26826.5","26816","26831","94.93149394999999","94.93149394999999","94.93149394999999","26826.5","26816","26831","64.86153010999999","64.86153010999999","64.86153010999999","26826.5","26816","26831","85.72965963000003","85.72965963000003","85.72965963000003"
"16640","33535.5","33525","33540","92.58442760000001","92.5844276","92.5844276","33535.5","33525","33540","64.92003186999999","64.92003186999999","64.92003186999999","33535.5","33525","33540","97.84147932000002","97.84147932000002","97.84147932000002"
"19968","40243.5","40233","40248","92.92066733","92.92066733","92.92066733","40243.5","40233","40248","63.893728280000005","63.893728280000005","63.893728280000005","40243.5","40233","40248","99.29790325","99.29790325","99.29790325"
"23296","46952.5","46942","46957","103.80784697","103.80784696999999","103.80784696999999","46952.5","46942","46957","72.21531496","72.21531496","72.21531496","46952.5","46942","46957","99.32881712999998","99.32881712999999","99.32881712999999"
"26624","53660.5","53650","53665","114.09905120000005","114.09905120000002","114.09905120000002","53660.5","53650","53665","78.88271600000002","78.88271600000002","78.88271600000002","53660.5","53650","53665","99.23191093000001","99.23191093000001","99.23191093000001"
"29952","60369.5","60359","60374","120.61597759000003","120.61597759","120.61597759","60369.5","60359","60374","77.50027985999999","77.50027985999999","77.50027985999999","60369.5","60359","60374","113.60639907999997","113.60639907999999","113.60639907999999"
"33280","67078.5","67068","67083","129.0749461","129.0749461","129.0749461","67078.5","67068","67083","77.47248610999999","77.47248611","77.47248611","67078.5","67068","67083","125.61376990999999","125.61376990999999","125.61376990999999"
"36608","73786.5","73776","73791","146.71792372000002","146.71792372","146.71792372","73786.5","73776","73791","74.89421749","74.89421749","74.89421749","73786.5","73776","73791","146.22888439000005","146.22888439000002","146.22888439000002"
"39936","80495.5","80485","80500","163.3926018","163.39260180000002","163.39260180000002","80495.5","80485","80500","82.61429638999999","82.61429638999999","82.61429638999999","80495.5","80485","80500","150.66377797000004","150.66377797000004","150.66377797000004"
"43264","87204.5","87194","87209","170.69732868999998","170.69732869","170.69732869","87204.5","87194","87209","92.17135320999999","92.17135320999999","92.17135320999999","87204.5","87194","87209","160.08973858","160.08973858","160.08973858"
"46592","93912.5","93902","93917","186.81023216","186.81023216000003","186.81023216000003","93912.5","93902","93917","97.54804041000001","97.54804041000001","97.54804041000001","93912.5","93902","93917","156.02016935000003","156.02016935","156.02016935"
"49920","100621.5","100611","100626","193.76872602999995","193.76872602999995","193.76872602999995","100621.5","100611","100626","101.29155493999997","101.29155493999997","101.29155493999997","100621.5","100611","100626","172.72230434","172.72230434000002","172.72230434000002"
"53248","107329.5","107319","107334","214.64013646000006","214.64013646","214.64013646","107329.5","107319","107334","107.06355254000002","107.06355254","107.06355254","107329.5","107319","107334","182.62537762999997","182.62537762999997","182.62537762999997"
"56576","114038.5","114028","114043","230.02876887999997","230.02876888000003","230.02876888000003","114038.5","114028","114043","118.07623686000001","118.07623686000001","118.07623686000001","114038.5","114028","114043","205.92201093","205.92201093000003","205.92201093000003"
"59904","120747.5","120737","120752","260.31078487999997","260.31078487999997","260.31078487999997","120747.5","120737","120752","142.05596841","142.05596841","142.05596841","120747.5","120737","120752","213.19018886000006","213.19018886000006","213.19018886000006"
"63232","127455.5","127445","127460","284.54801496","284.54801496","284.54801496","127455.5","127445","127460","142.28220964","142.28220964","142.28220964","127455.5","127445","127460","216.31924832999997","216.31924832999997","216.31924832999997"
"66560","134164.5","134154","134169","301.42424277000003","301.42424277","301.42424277","134164.5","134154","134169","148.59891479","148.59891479","148.59891479","134164.5","134154","134169","218.10605968000004","218.10605968000004","218.10605968000004"
"69888","140872.5","140862","140877","300.07754228","300.07754228","300.07754228","140872.5","140862","140877","146.21647491","146.21647491","146.21647491","140872.5","140862","140877","226.61705593000005","226.61705593000002","226.61705593000002"
"73216","147581.5","147571","147586","308.64747852000005","308.64747852000005","308.64747852000005","147581.5","147571","147586","160.1149295","160.1149295","160.1149295","147581.5","147571","147586","243.1817766899999","243.18177668999994","243.18177668999994"
"76544","154290.5","154280","154295","319.35024366","319.35024366","319.35024366","154290.5","154280","154295","165.24205266","165.24205266","165.24205266","154290.5","154280","154295","266.66846263","266.66846263","266.66846263"
"79872","160998.5","160988","161003","328.44384898999994","328.44384899","328.44384899","160998.5","160988","161003","170.67267551000003","170.67267551","170.67267551","160998.5","160988","161003","285.64889851","285.64889851","285.64889851"
